Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE JEAN MOULIN,2012,BEZIERS CEDEX,MONTPELLIER,PU,84,84,83,86,87,88
LYCEE JEAN-FRANCOIS CHAMPOLLION (GENERAL ET TECHNO.),2012,LATTES CEDEX,MONTPELLIER,PU,77,91,91,,,
LYCEE RABELAIS,2012,MONTPELLIER,MONTPELLIER,PR,75,61,65,,87,69
LYCEE NOTRE DAME DE LA MERCI,2012,MONTPELLIER CEDEX,MONTPELLIER,PR,100,95,98,97,97,98
LYCEE FILIERE BOIS ANDRE MALRAUX,2012,REMIREMONT CEDEX,NANCY-METZ,PU,83,96,88,90,94,94
LYCEE ALCIDE D'ORBIGNY,2012,BOUAYE,NANTES,PU,100,94,96,90,96,96
LYCEE GRAND AIR,2012,LA BAULE CEDEX,NANTES,PU,95,98,100,92,96,97
LYCEE NOTRE DAME (GENERAL ET TECHNO.),2012,REZE CEDEX,NANTES,PR,100,99,97,96,98,96
LYCEE FERNAND RENAUDEAU,2012,CHOLET CEDEX,NANTES,PU,96,91,98,87,90,95
LYCEE ST GABRIEL ST MICHEL,2012,ST LAURENT SUR SEVRE,NANTES,PR,93,96,94,89,94,93
LYCEE MASSENA,2012,NICE CEDEX,NICE,PU,88,92,93,91,93,95
LYCEE BONAPARTE,2012,TOULON CEDEX,NICE,PU,87,94,91,90,90,90
LYCEE STE MARIE ST DOMINIQUE,2012,BOURGES CEDEX,ORLEANS-TOURS,PR,100,80,95,93,94,97
LYCEE DU GRANIER,2013,LA RAVOIRE,GRENOBLE,PU,96,100,99,96,97,95
LYCEE GERVILLE REACHE,2013,BASSE TERRE,GUADELOUPE,PU,92,84,94,87,90,91
LYCEE HYACINTHE BASTARAUD (GENERAL ET TECHNO.),2013,GRAND BOURG,GUADELOUPE,PU,90,83,76,86,76,86
LYCEE STE ANNE,2013,STE ANNE,GUADELOUPE,PU,93,67,96,90,76,90
LYCEE SAINTE THERESE,2013,AVESNES SUR HELPE,LILLE,PR,,100,93,,83,87
LYCEE BEAUPRE (GENERAL ET TECHNO.),2013,HAUBOURDIN,LILLE,PU,97,91,87,91,92,88
LYCEE THEOPHILE LEGRAND,2013,LOUVROIL,LILLE,PR,,,70,,,87
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.),2013,BOULOGNE SUR MER,LILLE,PU,,86,92,,92,92
LYCEE ALBERT CHATELET,2013,ST POL SUR TERNOISE CEDE,LILLE,PU,94,95,95,95,97,95
LYCEE JEAN FAVARD (GENERAL ET TECHNO.),2013,GUERET,LIMOGES,PU,,,94,,,97
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.),2013,BELLEGARDE/VALSERINE CED,LYON,PU,85,100,92,87,94,89
LYCEE INTERNATIONAL,2013,FERNEY VOLTAIRE,LYON,PU,96,94,97,96,96,98
LYCEE AIGUERANDE (GENERAL ET TECHNO.),2013,BELLEVILLE,LYON,PU,92,94,93,92,95,94
LYCEE SAINT JUST,2013,LYON 05,LYON,PU,93,93,92,96,97,97
LYCEE SAINTE MARIE LYON,2013,LYON 05,LYON,PR,100,98,100,98,98,98
LYCEE CONDORCET,2013,ST PRIEST,LYON,PU,91,89,94,88,92,91
LYCEE YOUNOUSSA BAMANA,2013,MAMOUDZOU,MAYOTTE,PU,66,68,73,,,
LYCEE SAINT LOUIS (GENERAL ET TECHNO.),2013,CARCASSONNE,MONTPELLIER,PR,100,94,100,95,97,94
LYCEE JULES GUESDE (GENERAL ET TECHNO.),2013,MONTPELLIER,MONTPELLIER,PU,89,90,81,92,95,93
LYCEE LE BEAU RAMEAU BETHARRAM,2013,LESTELLE BETHARRAM,BORDEAUX,PR,67,78,63,90,75,71
INSTITUT LEMONNIER,2013,CAEN,CAEN,PR,,,77,,,81
LYCEE ALEXIS DE TOCQUEVILLE,2013,CHERBOURG OCTEVILLE,CAEN,PU,,97,98,,95,96
LYCEE BELLEVUE,2013,SAINTES,POITIERS,PU,88,100,88,95,97,95
LYCEE PIERRE JOEL BONTE (GENERAL ET TECHNO.),2013,RIOM,CLERMONT-FERRAND,PU,,,100,,,94
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.),2014,BOULOGNE SUR MER,LILLE,PU,,93,89,,87,92
LYCEE VOILLAUME,2013,AULNAY SOUS BOIS,CRETEIL,PU,100,93,83,79,71,69
LYCEE EDGAR QUINET,2014,BOURG EN BRESSE,LYON,PU,89,91,93,94,95,93
LYCEE LA MARTINIERE MONPLAISIR,2014,LYON 08,LYON,PU,,,99,,,97
LYCEE JOSEPH ZOBEL (GENERAL ET TECHNO.),2014,RIVIERE SALEE,MARTINIQUE,PU,93,93,99,87,86,94
LYCEE DE CHIRONGUI (GENERAL ET TECHNO.),2014,CHIRONGUI,MAYOTTE,PU,76,65,72,,,
LYCEE DE SADA (GENERAL ET TECHNO.),2014,SADA,MAYOTTE,PU,69,85,83,,,
LYCEE PONTUS DE TYARD,2013,CHALON SUR SAONE,DIJON,PU,100,97,97,96,98,98
LYCEE DE BOIS D'OLIVE (GENERAL ET TECHNO.),2012,RAVINE DES CABRIS,LA REUNION,PU,76,82,96,84,86,95
LYCEE LOUIS PAYEN,2012,ST PAUL CEDEX,LA REUNION,PU,100,84,95,97,97,97
LYCEE LOUIS LAPICQUE,2014,EPINAL,NANCY-METZ,PU,85,83,82,91,80,92
LYCEE PIERRE ET MARIE CURIE (GENERAL ET TECHNO.),2014,NEUFCHATEAU,NANCY-METZ,PU,80,100,92,97,92,95
LYCEE BEAU JARDIN,2014,ST DIE DES VOSGES,NANCY-METZ,PR,100,86,95,94,95,96
LYCEE   (GENERAL ET TECHNO.),2014,NANTES,NANTES,PU,,87,,,91,
LYCEE LA MALASSISE,2012,LONGUENESSE CEDEX,LILLE,PR,,100,100,,98,97
LYCEE CHAMP BLANC,2014,LE LONGERON,NANTES,PR,100,98,99,94,96,96
LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.),2018,GOUSSAINVILLE,VERSAILLES,PU,73,88,81,76,79,69
LYCEE BRISTOL,2014,CANNES,NICE,PU,90,94,75,91,93,85
LYCEE JEAN-BAPTISTE POQUELIN (GENERAL ET TECHNO.),2018,ST GERMAIN EN LAYE,VERSAILLES,PU,,97,,,86,
LYCEE VICTOR DURUY,2014,PARIS 07,PARIS,PU,100,98,96,98,98,97
LYCEE DE LA MARE CARREE (GENERAL ET TECHNO.),2014,MOISSY CRAMAYEL,CRETEIL,PU,89,93,95,86,87,92
LYCEE RENE CASSIN (GENERAL ET TECHNO.),2014,NOISIEL,CRETEIL,PU,,,92,,,93
LYCEE BERNARD PALISSY,2014,SAINTES,POITIERS,PU,90,96,97,92,94,94
LYCEE ITEC BOISFLEURY EUROPE,2014,LA TRONCHE,GRENOBLE,PR,100,96,90,89,97,96
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2014,REVIN,REIMS,PU,,68,62,,73,79
LYCEE DIDEROT (GENERAL ET TECHNO.),2014,LANGRES,REIMS,PU,95,88,89,94,93,95
LYCEE BLAISE PASCAL,2014,ST DIZIER,REIMS,PU,,,83,,,91
LYCEE RENE DESCARTES,2014,RENNES,RENNES,PU,95,94,95,96,96,97
LYCEE ST MARTIN,2014,RENNES,RENNES,PR,100,98,99,97,98,98
LYCEE BAIMBRIDGE,2014,LES ABYMES,GUADELOUPE,PU,100,92,91,89,91,91
LYCEE THOMAS CORNEILLE,2014,BARENTIN,ROUEN,PU,93,86,97,91,93,95
LYCEE JULES MOUSSERON,2014,DENAIN,LILLE,PU,96,,79,86,,75
LYCEE SAINT JACQUES,2014,HAZEBROUCK,LILLE,PR,100,98,97,97,95,96
LYCEE SAINTE CLAIRE,2014,LILLE,LILLE,PR,100,96,95,93,93,93
LYCEE JEAN PROUVE,2014,LOMME,LILLE,PU,,,80,,,71
LYCEE YOUNOUSSA BAMANA,2015,MAMOUDZOU,MAYOTTE,PU,63,66,80,,,
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.),2015,YVETOT,ROUEN,PU,100,95,96,91,94,95
LYCEE EMILE PEYTAVIN,2015,MENDE,MONTPELLIER,PU,,,92,,,94
LYCEE SAINT ANDRE,2015,COLMAR,STRASBOURG,PR,100,96,99,90,96,96
LYCEE JEAN MOULIN,2015,FORBACH,NANCY-METZ,PU,96,80,92,88,89,92
LYCEE DON BOSCO,2015,LANDSER,STRASBOURG,PR,,100,99,,95,98
LYCEE CHARLEMAGNE,2015,THIONVILLE,NANCY-METZ,PU,77,87,95,93,93,94
LYCEE SAINT-JOSEPH - LA SALLE,2015,TOULOUSE,TOULOUSE,PR,95,100,98,96,98,98
LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.),2015,CHATEAUBRIANT,NANTES,PU,100,93,87,96,94,94
LYCEE AUGUSTE ET JEAN RENOIR,2015,ANGERS,NANTES,PU,98,96,99,98,97,97
LYCEE SACRE COEUR,2015,ANGERS,NANTES,PR,97,98,99,95,97,95
LYCEE EUROPE ROBERT SCHUMAN (GENERAL ET TECHNO.),2015,CHOLET,NANTES,PU,86,97,91,95,95,90
LYCEE IMMACULEE CONCEPTION,2015,LAVAL,NANTES,PR,100,100,99,97,97,96
LYCEE EDOUARD VAILLANT (GENERAL ET TECHNO.),2015,VIERZON,ORLEANS-TOURS,PU,94,83,89,87,92,94
LYCEE CHARLES DE GAULLE,2012,DIJON,DIJON,PU,100,99,96,97,98,98
LYCEE NORD GRANDE TERRE (GENERAL ET TECHNO.),2012,PORT LOUIS,GUADELOUPE,PU,57,63,87,81,92,92
LYCEE LEON-GONTRAN DAMAS,2012,CAYENNE CEDEX,GUYANE,PU,69,58,70,67,64,79
LYCEE MAXIMILIEN SORRE,2012,CACHAN,CRETEIL,PU,88,83,72,82,86,76
LYCEE CHARLES PEGUY,2015,PARIS 11,PARIS,PR,100,100,100,99,99,99
ECOLE  INTERNATIONAL BILINGUE,2015,PARIS 17,PARIS,PR,100,98,98,97,96,97
LYCEE BETH HANNA,2015,PARIS 19,PARIS,PR,,100,100,,92,94
LYCEE MARGUERITE DE VALOIS,2015,ANGOULEME,POITIERS,PU,91,91,93,93,96,94
LYCEE GUY CHAUVET,2015,LOUDUN,POITIERS,PU,76,94,87,83,95,92
LYCEE STELLA (GENERAL ET TECHNO.),2012,LE PITON ST LEU,LA REUNION,PU,86,96,92,93,92,91
LYCEE PIERRE JOEL BONTE (GENERAL ET TECHNO.),2017,RIOM,CLERMONT-FERRAND,PU,,,97,,,97
LYCEE LAETITIA BONAPARTE,2017,AJACCIO,CORSE,PU,97,95,97,92,90,96
LYCEE ALCIDE D'ORBIGNY,2013,BOUAYE,NANTES,PU,97,97,98,93,96,97
LYCEE GEORGE SAND,2017,LE MEE SUR SEINE,CRETEIL,PU,80,65,78,82,75,74
LYCEE INTERNAT D'EXCELLENCE SOURDUN,2017,SOURDUN,CRETEIL,PU,80,100,98,,94,89
LYCEE JACQUES FEYDER,2017,EPINAY SUR SEINE,CRETEIL,PU,65,67,80,78,74,73
LYCEE BLAISE CENDRARS (GENERAL ET TECHNO.),2017,SEVRAN,CRETEIL,PU,84,81,73,87,76,70
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),2017,NOGENT SUR MARNE,CRETEIL,PU,,,87,,,91
LYCEE PRIEUR DE LA COTE D'OR (GENERAL ET TECHNO.),2017,AUXONNE,DIJON,PU,88,77,74,92,85,88
LYCEE ANNA JUDIC (GENERAL ET TECHNO.),2017,SEMUR EN AUXOIS,DIJON,PU,84,98,96,94,93,96
LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.),2017,CLAMECY,DIJON,PU,100,100,73,90,91,92
LYCEE EMILAND GAUTHEY (GENERAL ET TECHNO.),2017,CHALON SUR SAONE,DIJON,PU,,96,93,,89,93
LYCEE DES GLIERES (GENERAL ET TECHNO.),2017,ANNEMASSE,GRENOBLE,PU,95,88,85,94,86,92
LYCEE DEMOTZ DE LA SALLE (GENERAL ET TECHNO.),2017,RUMILLY,GRENOBLE,PR,100,95,100,97,93,90
LYCEE MARIE CURIE,2017,ECHIROLLES,GRENOBLE,PU,87,86,93,89,82,93
LYCEE ROBIN,2017,VIENNE,GRENOBLE,PR,92,94,97,94,92,93
LYCEE MAITRISE DE MASSABIELLE,2017,POINTE A PITRE,GUADELOUPE,PR,83,98,96,73,79,88
LYCEE LA CROIX BLANCHE,2017,BONDUES,LILLE,PR,100,97,97,97,96,97
LYCEE E.P.I.D.,2017,DUNKERQUE,LILLE,PR,,,96,,,94
LYCEE DES FLANDRES,2017,HAZEBROUCK,LILLE,PU,89,98,99,95,95,96
LYCEE MARIETTE,2017,BOULOGNE SUR MER,LILLE,PU,85,84,91,93,93,93
LYCEE EDMOND PERRIER,2017,TULLE,LIMOGES,PU,98,92,95,93,93,96
LYCEE PAUL ELUARD,2017,ST JUNIEN,LIMOGES,PU,96,83,96,94,89,93
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),2017,RIVE DE GIER,LYON,PU,78,84,95,91,91,91
LYCEE ALBERT THOMAS,2017,ROANNE,LYON,PU,83,94,87,86,87,92
LYCEE DE L'UNION,2017,FORT DE FRANCE,MARTINIQUE,PR,50,78,44,,,56
LYCEE ACAJOU 2 (GENERAL ET TECHNO.),2017,LE LAMENTIN,MARTINIQUE,PU,93,85,93,89,86,84
LYCEE DHUODA,2017,NIMES,MONTPELLIER,PU,,,92,,,90
LYCEE JOSEPH VALLOT (GENERAL ET TECHNO.),2017,LODEVE,MONTPELLIER,PU,90,76,87,89,88,91
LYCEE JEAN MERMOZ (GENERAL ET TECHNO.),2017,MONTPELLIER,MONTPELLIER,PU,,77,86,,84,88
LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.),2017,ANCENIS,NANTES,PU,88,97,94,96,96,94
LYCEE BLANCHE DE CASTILLE,2017,NANTES,NANTES,PR,94,98,97,96,96,98
LYCEE GABRIEL GUISTHAU,2017,NANTES,NANTES,PU,97,94,95,97,97,98
LYCEE NOTRE DAME,2017,LA FLECHE,NANTES,PR,50,100,83,,92,89
LYCEE PHILIPPE LEBON (GENERAL ET TECHNO.),2013,JOINVILLE,REIMS,PU,,91,95,,93,80
LYCEE ST J-B DE LA SALLE,2013,REIMS,REIMS,PR,,,81,,,78
LYCEE SACRE COEUR,2013,ST BRIEUC,RENNES,PR,,,96,,,93
LYCEE DE CORNOUAILLE,2013,QUIMPER,RENNES,PU,94,96,97,94,96,93
LYCEE ND DU KREISKER,2013,ST POL DE LEON,RENNES,PR,100,97,90,95,95,94
LYCEE JEAN MACE (GENERAL ET TECHNO.),2013,LANESTER,RENNES,PU,92,80,91,94,88,93
LYCEE JEANNE D'ARC - SAINT-ANSELME,2013,BERNAY,ROUEN,PR,,100,91,,97,94
LYCEE FENELON,2013,ELBEUF,ROUEN,PR,100,100,98,89,94,97
LYCEE LA PROVIDENCE,2013,FECAMP,ROUEN,PR,100,96,94,98,98,98
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.),2013,YVETOT,ROUEN,PU,87,92,94,96,94,94
LYCEE ADRIEN ZELLER,2013,BOUXWILLER,STRASBOURG,PU,100,98,95,93,94,95
LYCEE FREPPEL,2013,OBERNAI,STRASBOURG,PU,100,94,97,96,97,98
COLLEGE EPISCOPAL ST ETIENNE,2013,STRASBOURG,STRASBOURG,PR,,94,98,,98,97
LYCEE,2013,MIREPOIX,TOULOUSE,PU,90,94,87,88,87,89
LYCEE LOUIS QUERBES,2013,RODEZ,TOULOUSE,PR,,,100,,,90
LYCEE BORDE BASSE,2013,CASTRES,TOULOUSE,PU,85,92,94,94,94,93
LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),2013,DOURDAN,VERSAILLES,PU,100,100,90,93,94,94
LYCEE MAURICE ELIOT,2013,EPINAY SOUS SENART,VERSAILLES,PU,96,89,93,87,85,84
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.),2013,EVRY,VERSAILLES,PR,100,100,97,96,98,97
LYCEE L'ESSOURIAU (GENERAL ET TECHNO.),2013,LES ULIS,VERSAILLES,PU,91,98,94,93,93,93
LYCEE BLAISE PASCAL,2013,ORSAY,VERSAILLES,PU,95,99,99,98,98,99
LYCEE GALILEE (GENERAL ET TECHNO.),2013,GENNEVILLIERS,VERSAILLES,PU,,98,94,,86,85
LYCEE LA SALLE ST NICOLAS,2013,ISSY LES MOULINEAUX CEDE,VERSAILLES,PR,,86,86,,80,76
LYCEE JEAN JAURES (GENERAL ET TECHNO.),2013,ARGENTEUIL,VERSAILLES,PU,,,82,,,84
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.),2013,BEAUMONT SUR OISE,VERSAILLES,PU,84,80,88,82,82,89
LYCEE RENE CASSIN,2013,GONESSE,VERSAILLES,PU,92,78,76,83,82,82
LYCEE HONORE DAUMIER,2014,MARSEILLE 08,AIX-MARSEILLE,PU,94,81,87,95,92,93
LYCEE FREDERIC MISTRAL,2014,AVIGNON,AIX-MARSEILLE,PU,89,84,91,93,86,91
LYCEE JEAN CALVIN,2014,NOYON,AMIENS,PU,91,94,75,89,87,84
LYCEE ST JOSEPH,2014,PERIGUEUX,BORDEAUX,PR,89,100,95,,96,94
LYCEE JEAN CASSAIGNE,2014,ST PIERRE DU MONT,BORDEAUX,PR,100,100,96,94,96,95
LYCEE SAINTE MARIE,2014,CAEN,CAEN,PR,94,92,99,93,96,95
LYCEE JEAN MONNET (GENERAL ET TECHNO.),2014,MORTAGNE AU PERCHE,CAEN,PU,100,100,93,96,96,96
LYCEE LA FAYETTE,2014,BRIOUDE,CLERMONT-FERRAND,PU,100,81,95,95,94,95
LYCEE JOSEPH ZOBEL (GENERAL ET TECHNO.),2018,RIVIERE SALEE,MARTINIQUE,PU,100,94,96,91,86,92
LYCEE HENRI IV,2018,BEZIERS,MONTPELLIER,PU,98,90,86,91,91,89
LYCEE PAUL VALERY,2018,SETE,MONTPELLIER,PU,88,91,92,90,89,92
LYCEE L'ASSOMPTION,2018,VAL DE BRIEY,NANCY-METZ,PR,,80,80,,82,88
LYCEE STANISLAS (GENERAL ET TECHNO.),2018,VILLERS LES NANCY,NANCY-METZ,PU,,97,93,,93,95
LYCEE DE LA SALLE,2018,METZ,NANCY-METZ,PR,,100,96,,96,97
LYCEE FILIERE BOIS ANDRE MALRAUX (GENERAL ET TECHNO.),2018,REMIREMONT,NANCY-METZ,PU,97,88,89,96,95,96
LYCEE GRAND AIR,2018,LA BAULE,NANTES,PU,97,93,94,94,97,97
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.),2018,FONTENAY LE COMTE,NANTES,PU,90,98,88,96,96,96
LYCEE AMIRAL DE GRASSE,2018,GRASSE,NICE,PU,97,94,95,91,89,89
LYCEE MAINTENON (GENERAL ET TECHNO.),2018,HYERES,NICE,PR,100,100,96,95,97,97
LYCEE DESCARTES,2018,TOURS,ORLEANS-TOURS,PU,97,100,94,98,97,97
LYCEE SAINT FRANCOIS DE SALES (GENERAL ET TECHNO.),2018,GIEN,ORLEANS-TOURS,PR,100,93,96,,95,93
LYCEE DURZY,2018,VILLEMANDEUR,ORLEANS-TOURS,PU,,93,95,,88,92
LYCEE PAUL CLAUDEL D'HULST,2018,PARIS 07,PARIS,PR,100,100,100,98,98,98
LYCEE SAINTE-ELISABETH,2018,PARIS 15,PARIS,PR,100,96,100,97,94,98
LYCEE JEAN-BAPTISTE SAY,2018,PARIS 16,PARIS,PU,100,97,98,97,98,98
LYCEE GUEZ DE BALZAC,2018,ANGOULEME,POITIERS,PU,95,94,93,92,96,95
LYCEE SAINT PAUL,2018,ANGOULEME,POITIERS,PR,86,100,95,94,97,97
LYCEE DE BEAULIEU,2018,COGNAC,POITIERS,PR,100,96,96,96,93,93
LYCEE VICTOR HUGO,2018,POITIERS,POITIERS,PU,86,91,95,96,95,97
LYCEE ESTIC,2018,ST DIZIER,REIMS,PR,94,96,93,96,93,96
LYCEE FELIX LE DANTEC,2018,LANNION,RENNES,PU,96,86,96,94,94,97
LYCEE CHAPTAL (GENERAL ET TECHNO.),2018,ST BRIEUC,RENNES,PU,,,92,,,91
LYCEE JOSEPH SAVINA,2018,TREGUIER,RENNES,PU,85,,78,92,,84
LYCEE ESTRAN CHARLES DE FOUCAULD,2018,BREST,RENNES,PR,96,87,96,97,96,97
LYCEE JULES LESVEN,2018,BREST,RENNES,PU,,92,,,92,
LYCEE RENE LAENNEC,2018,PONT L ABBE,RENNES,PU,93,89,93,89,90,90
LYCEE ST GABRIEL,2018,PONT L ABBE,RENNES,PR,91,97,97,93,88,94
LYCEE AUGUSTE BRIZEUX,2018,QUIMPER,RENNES,PU,96,95,96,95,96,97
LYCEE ND DU KREISKER,2018,ST POL DE LEON,RENNES,PR,96,100,97,93,96,94
LYCEE JACQUES PREVERT,2018,PONT AUDEMER,ROUEN,PU,95,94,95,94,95,95
LYCEE FENELON,2018,ELBEUF,ROUEN,PR,100,97,96,,95,95
LYCEE JEAN-BAPTISTE DE LA SALLE,2018,ROUEN,ROUEN,PR,95,98,98,98,98,98
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),2018,ERSTEIN,STRASBOURG,PU,100,93,97,95,96,97
LYCEE LOUIS MARCHAL (GENERAL ET TECHNO.),2018,MOLSHEIM,STRASBOURG,PU,,93,97,,87,97
LYCEE SAINT ANDRE,2018,COLMAR,STRASBOURG,PR,95,99,96,96,96,96
LYCEE ALFRED KASTLER,2018,GUEBWILLER,STRASBOURG,PU,96,93,96,94,94,94
LYCEE AMELIE ZURCHER (GENERAL ET TECHNO.),2018,WITTELSHEIM,STRASBOURG,PU,100,79,79,89,88,89
LYCEE NOTRE-DAME,2018,PAMIERS,TOULOUSE,PR,88,75,96,89,,93
LYCEE DE BAGATELLE,2018,ST GAUDENS,TOULOUSE,PU,100,90,93,92,91,94
LYCEE ATLANTIQUE (GENERAL ET TECHNO.),2017,LUCON,NANTES,PU,100,83,94,94,95,95
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2017,MONTAIGU,NANTES,PU,94,97,89,95,96,93
LYCEE EMILE ZOLA,2017,CHATEAUDUN,ORLEANS-TOURS,PU,92,95,91,93,91,92
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.),2017,CHINON,ORLEANS-TOURS,PU,100,93,91,96,92,95
LYCEE SAINTE-GENEVIEVE,2017,PARIS 06,PARIS,PR,100,97,100,95,97,94
LYCEE HENRI BERGSON,2017,PARIS 19,PARIS,PU,82,76,59,91,85,78
LYCEE SAINT PAUL (GENERAL ET TECHNO.),2017,CHARLEVILLE MEZIERES,REIMS,PR,100,100,95,94,89,92
LYCEE ST BERNARD,2017,TROYES,REIMS,PR,90,85,97,95,92,94
LYCEE GEORGES BRIERE (GENERAL ET TECHNO.),2017,REIMS,REIMS,PU,67,70,0,,61,
LYCEE GEORGES CLEMENCEAU,2017,REIMS,REIMS,PU,89,88,90,91,90,92
LYCEE ST J-B DE LA SALLE,2017,REIMS,REIMS,PR,,,78,,,92
LYCEE ST JOSEPH,2017,REIMS,REIMS,PR,,100,98,,95,95
LYCEE ST LOUIS,2017,CHATEAULIN,RENNES,PR,91,88,100,96,92,97
LYCEE ANITA CONTI,2017,BRUZ,RENNES,PU,91,87,94,94,93,96
LYCEE JEAN GUEHENNO,2017,FOUGERES,RENNES,PU,76,92,91,92,94,93
LYCEE DES ARENES,2018,TOULOUSE,TOULOUSE,PU,86,91,85,94,93,91
LYCEE MONTDORY,2017,THIERS,CLERMONT-FERRAND,PU,94,92,89,94,82,91
LYCEE GALILEE,2017,COMBS LA VILLE,CRETEIL,PU,100,74,83,94,90,92
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2017,MELUN,CRETEIL,PU,50,52,72,81,71,71
LYCEE ETIENNE BEZOUT (GENERAL ET TECHNO.),2017,NEMOURS,CRETEIL,PU,93,89,94,92,90,93
LYCEE SAINTE CROIX,2017,PROVINS,CRETEIL,PR,100,100,95,98,94,93
LYCEE SAINT BENOIST DE L'EUROPE (GENERAL ET TECHNO.),2017,BAGNOLET,CRETEIL,PR,,100,93,,89,80
LYCEE JACQUES BREL,2017,LA COURNEUVE,CRETEIL,PU,85,74,75,78,62,71
LYCEE ALLIANCE,2017,LES PAVILLONS SOUS BOIS,CRETEIL,PR,,100,100,,94,95
LYCEE CONDORCET (GENERAL ET TECHNO.),2017,LA VARENNE ST HILAIRE CEDE,CRETEIL,PU,100,100,99,96,94,96
LYCEE MONTALEMBERT,2017,NOGENT SUR MARNE,CRETEIL,PR,100,100,98,99,99,99
LYCEE NOTRE DAME,2017,DIJON,DIJON,PR,100,98,96,97,94,96
LYCEE SAINT BONNET,2017,CHATEAUNEUF DE GALAURE,GRENOBLE,PR,,100,100,,94,98
LYCEE ANNA DE NOAILLES (GENERAL ET TECHNO.),2017,EVIAN LES BAINS,GRENOBLE,PU,100,96,93,94,91,93
LYCEE SAINT JOSEPH,2017,SALLANCHES,GRENOBLE,PR,100,93,96,,92,91
LYCEE PABLO NERUDA (GENERAL ET TECHNO.),2017,ST MARTIN D HERES,GRENOBLE,PU,90,96,95,96,93,96
LYCEE CHARLES COEFFIN (GENERAL ET TECHNO.),2017,BAIE MAHAULT,GUADELOUPE,PU,96,100,98,95,95,97
LYCEE BEAUPRE (GENERAL ET TECHNO.),2017,HAUBOURDIN,LILLE,PU,89,91,88,90,89,90
LYCEE NOTRE-DAME DE LA PAIX,2017,LILLE,LILLE,PR,100,92,95,94,94,93
LYCEE YVES KERNANEC,2017,MARCQ EN BAROEUL,LILLE,PU,94,83,87,94,91,93
LYCEE NOTRE-DAME DE LA PROVIDENCE (GENERAL ET TECHNO.),2017,ORCHIES,LILLE,PR,,95,100,,94,94
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.),2017,HERICOURT,BESANCON,PU,94,87,100,94,92,96
LYCEE TECH INNOVANTES - V DE GARONNE (GENERAL ET TECHNO.),2017,MARMANDE,BORDEAUX,PU,94,93,90,92,92,94
LYCEE EXPERIMENTAL A.MALRAUX,2017,BIARRITZ,BORDEAUX,PU,90,90,94,93,92,95
LYCEE PAUL REY,2017,NAY,BORDEAUX,PU,95,81,95,95,92,95
LYCEE P. S. DE LAPLACE (GENERAL ET TECHNO.),2017,CAEN,CAEN,PU,,,100,,,97
LYCEE MARIE-JOSEPH,2017,TROUVILLE SUR MER,CAEN,PR,78,100,92,85,94,93
LYCEE SEVIGNE,2017,GRANVILLE,CAEN,PR,100,86,96,96,93,95
LYCEE JEAN MONNET (GENERAL ET TECHNO.),2017,MORTAGNE AU PERCHE,CAEN,PU,84,94,94,93,96,93
LYCEE VICTOR HUGO,2018,GAILLAC,TOULOUSE,PU,81,85,90,85,92,92
LYCEE JEAN-BAPTISTE COROT,2018,SAVIGNY SUR ORGE,VERSAILLES,PU,96,92,91,94,93,95
LYCEE AUGUSTE RENOIR,2018,ASNIERES SUR SEINE,VERSAILLES,PU,88,81,90,90,87,90
LYCEE NOTRE DAME DE LA PROVIDENCE,2018,ENGHIEN LES BAINS,VERSAILLES,PR,100,98,100,98,97,97
LYCEE TORAT EMET,2018,SARCELLES,VERSAILLES,PR,,100,100,,87,96
LYCEE VINCENT VAN GOGH (GENERAL ET TECHNO.),2018,AUBERGENVILLE,VERSAILLES,PU,91,94,92,91,93,93
LYCEE LOUIS DE BROGLIE,2018,MARLY LE ROI,VERSAILLES,PU,96,93,96,94,95,98
LYCEE SAINT EREMBERT,2018,ST GERMAIN EN LAYE,VERSAILLES,PR,100,100,100,,99,99
