Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE GRAND AIR,2017,LA BAULE,NANTES,PU,93,87,91,93,95,96
LYCEE IMMACULEE CONCEPTION,2017,LAVAL,NANTES,PR,100,96,100,95,97,98
LYCEE REAUMUR,2017,LAVAL,NANTES,PU,,,100,,,94
LYCEE NOTRE DAME,2017,LE MANS,NANTES,PR,96,95,93,97,97,96
LYCEE GEORGES CLEMENCEAU,2017,CHANTONNAY,NANTES,PU,78,90,83,87,91,88
LYCEE ALEXANDRE RIBOT,2016,ST OMER,LILLE,PU,98,98,86,96,95,91
LYCEE JEANNE HACHETTE,2016,BEAUVAIS,AMIENS,PU,95,97,91,93,93,93
LYCEE JEAN ROSTAND,2016,CHANTILLY,AMIENS,PU,87,85,91,95,95,95
LYCEE ALAIN CHARTIER,2016,BAYEUX,CAEN,PU,89,,87,94,,94
LYCEE AUGUSTE CHEVALIER,2016,DOMFRONT EN POIRAIE,CAEN,PU,100,94,84,,92,96
LYCEE GALILEE (GENERAL ET TECHNO.),2016,FRANQUEVILLE ST PIERRE,ROUEN,PU,96,85,95,95,95,96
LYCEE NOTRE DAME,2016,GUINGAMP,RENNES,PR,82,100,96,96,95,94
LYCEE JULES LESVEN,2016,BREST,RENNES,PU,,89,,,95,
LYCEE SAINT BLAISE,2016,DOUARNENEZ,RENNES,PR,94,97,94,94,93,95
LYCEE ST ESPRIT,2016,LANDIVISIAU,RENNES,PR,91,100,96,96,96,94
LYCEE MARCEL CALLO,2016,REDON,RENNES,PR,,,100,,,95
LYCEE CHARLES DE GAULLE,2016,VANNES,RENNES,PU,78,96,95,94,96,96
LYCEE LA HERDRIE,2016,BASSE GOULAINE,NANTES,PU,100,97,91,97,98,97
LYCEE CENS,2016,LA CHAPELLE SUR ERDRE,NANTES,PR,,100,100,,95,96
LYCEE ST JOSEPH,2016,MAUGES SUR LOIRE,NANTES,PR,94,100,88,95,96,93
LYCEE NOTRE DAME,2016,LA FLECHE,NANTES,PR,100,80,100,,95,96
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2016,MONTAIGU,NANTES,PU,95,100,91,94,95,95
LYCEE ST THOMAS D AQUIN,2016,ST JEAN DE LUZ,BORDEAUX,PR,100,100,100,98,98,95
LYCEE DE NAVARRE (GENERAL ET TECHNO.),2016,ST JEAN PIED DE PORT,BORDEAUX,PU,100,100,94,94,93,95
LYCEE ERNEST PEROCHON,2016,PARTHENAY,POITIERS,PU,96,92,95,97,97,94
LYCEE DU BOIS D'AMOUR,2016,POITIERS,POITIERS,PU,97,99,97,97,97,96
LYCEE CHARLES GIDE,2016,UZES,MONTPELLIER,PU,100,96,96,94,94,93
LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.),2016,AGDE,MONTPELLIER,PU,90,88,94,94,92,96
LYCEE JEAN MOULIN (GENERAL ET TECHNO.),2016,BEZIERS,MONTPELLIER,PU,90,74,82,90,87,90
LYCEE VICTOR HUGO (GENERAL ET TECHNO.),2016,LUNEL,MONTPELLIER,PU,97,85,84,93,92,93
LYCEE ST JOSEPH PIERRE ROUGE (GENERAL ET TECHNO.),2016,MONTFERRIER SUR LEZ,MONTPELLIER,PR,100,88,84,,90,86
LYCEE JULES GUESDE (GENERAL ET TECHNO.),2016,MONTPELLIER,MONTPELLIER,PU,95,89,91,93,94,90
LYCEE SACRE-COEUR,2016,ST CHELY D APCHER,MONTPELLIER,PR,,100,,,95,
LYCEE DE BAGATELLE,2016,ST GAUDENS,TOULOUSE,PU,92,90,93,95,91,95
LYCEE BOSSUET,2016,CONDOM,TOULOUSE,PU,89,93,88,95,94,95
LYCEE BOURDELLE,2016,MONTAUBAN,TOULOUSE,PU,,81,94,,92,95
LYCEE PIERRE JOEL BONTE (GENERAL ET TECHNO.),2016,RIOM,CLERMONT-FERRAND,PU,,,100,,,95
LYCEE ALAIN FOURNIER,2016,BOURGES,ORLEANS-TOURS,PU,97,93,90,95,91,94
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),2016,CHATEAUROUX,ORLEANS-TOURS,PU,,,96,,,91
LYCEE JULES RENARD,2018,NEVERS,DIJON,PU,89,,93,93,,97
LYCEE JULES FROMENT,2018,AUBENAS,GRENOBLE,PR,90,94,94,93,91,92
LYCEE LES CATALINS (GENERAL ET TECHNO.),2018,MONTELIMAR,GRENOBLE,PU,,,96,,,94
LYCEE ROGER FRISON ROCHE (GENERAL ET TECHNO.),2018,CHAMONIX MONT BLANC,GRENOBLE,PU,,98,100,,96,97
LYCEE LES EAUX CLAIRES,2018,GRENOBLE,GRENOBLE,PU,90,95,95,96,94,97
LYCEE STENDHAL,2018,GRENOBLE,GRENOBLE,PU,90,89,88,95,92,96
LYCEE DE L'EDIT (GENERAL ET TECHNO.),2018,ROUSSILLON,GRENOBLE,PU,88,92,89,86,90,91
LYCEE GERVILLE REACHE,2018,BASSE TERRE,GUADELOUPE,PU,95,98,95,94,96,96
LYCEE CARNOT (GENERAL ET TECHNO.),2018,POINTE A PITRE,GUADELOUPE,PU,91,83,,64,,
LYCEE LECONTE DE LISLE,2018,ST DENIS,LA REUNION,PU,97,98,92,94,91,96
LYCEE PRIVE AVERROES,2018,LILLE,LILLE,PR,78,86,97,,91,89
LYCEE GAMBETTA,2018,TOURCOING,LILLE,PU,84,84,76,91,88,86
LYCEE EMILE ZOLA (GENERAL ET TECHNO.),2018,WATTRELOS,LILLE,PU,72,72,71,82,71,78
ENSEMBLE SCOLAIRE LA SALLE,2018,ST ETIENNE,LYON,PR,94,84,89,92,90,91
LYCEE SIMONE WEIL,2018,ST PRIEST EN JAREZ,LYON,PU,97,91,93,96,93,92
LYCEE COLBERT,2018,LYON 08,LYON,PU,76,71,64,88,83,79
LYCEE JULES VERNE (GENERAL ET TECHNO.),2018,CHATEAU THIERRY,AMIENS,PU,,,87,,,94
LYCEE ANDRE MALRAUX,2018,MONTATAIRE,AMIENS,PU,92,93,87,93,91,85
